program,type,run,bp,wl,rrs
hydro,classic,7,0.02,595,1.23E-03
hydro,classic,7,0.02,605,7.57E-04
hydro,classic,7,0.02,615,7.03E-04
hydro,classic,7,0.02,625,6.41E-04
hydro,classic,7,0.02,635,5.83E-04
hydro,classic,7,0.02,645,5.28E-04
hydro,classic,7,0.02,655,4.60E-04
hydro,classic,7,0.02,665,4.43E-04
hydro,classic,7,0.02,675,5.86E-04
hydro,classic,7,0.02,685,6.91E-04
hydro,classic,7,0.02,695,5.05E-04
hydro,classic,7,0.02,705,2.70E-04
hydro,classic,7,0.02,715,1.54E-04
hydro,classic,7,0.02,725,9.89E-05
hydro,classic,7,0.02,735,6.76E-05
hydro,classic,7,0.02,745,5.62E-05
hydro,new,8,0.01,355,0.0044297
hydro,new,8,0.01,365,0.0045129
hydro,new,8,0.01,375,0.0044881
hydro,new,8,0.01,385,0.0044351
hydro,new,8,0.01,395,0.0043563
hydro,new,8,0.01,405,0.0040279
hydro,new,8,0.01,415,0.0036744
hydro,new,8,0.01,425,0.0034584
hydro,new,8,0.01,435,0.0031786
hydro,new,8,0.01,445,0.0031147
hydro,new,8,0.01,455,0.0031332
hydro,new,8,0.01,465,0.0031281
hydro,new,8,0.01,475,0.0032406
hydro,new,8,0.01,485,0.003304
hydro,new,8,0.01,495,0.0033124
hydro,new,8,0.01,505,0.0032079
hydro,new,8,0.01,515,0.0029046
hydro,new,8,0.01,525,0.0030149
hydro,new,8,0.01,535,0.0030288
hydro,new,8,0.01,545,0.002969
hydro,new,8,0.01,555,0.002823
hydro,new,8,0.01,565,0.0027719
hydro,new,8,0.01,575,0.002392
hydro,new,8,0.01,585,0.0017613
hydro,new,8,0.01,595,0.0012333
hydro,new,8,0.01,605,0.00080125
hydro,new,8,0.01,615,0.00075041
hydro,new,8,0.01,625,0.00068543
hydro,new,8,0.01,635,0.00062402
hydro,new,8,0.01,645,0.00057171
hydro,new,8,0.01,655,0.00050885
hydro,new,8,0.01,665,0.00054243
hydro,new,8,0.01,675,0.00085956
hydro,new,8,0.01,685,0.0011278
hydro,new,8,0.01,695,0.00080877
hydro,new,8,0.01,705,0.00037029
hydro,new,8,0.01,715,0.00018815
hydro,new,8,0.01,725,0.0001182
hydro,new,8,0.01,735,0.000081033
hydro,new,8,0.01,745,0.000067624
eco,new,8,0.01,355,4.43E-03
eco,new,8,0.01,365,4.51E-03
eco,new,8,0.01,375,4.49E-03
eco,new,8,0.01,385,4.44E-03
eco,new,8,0.01,395,4.36E-03
eco,new,8,0.01,405,4.03E-03
eco,new,8,0.01,415,3.68E-03
eco,new,8,0.01,425,3.46E-03
eco,new,8,0.01,435,3.18E-03
eco,new,8,0.01,445,3.12E-03
eco,new,8,0.01,455,3.13E-03
eco,new,8,0.01,465,3.13E-03
eco,new,8,0.01,475,3.24E-03
eco,new,8,0.01,485,3.30E-03
eco,new,8,0.01,495,3.31E-03
eco,new,8,0.01,505,3.21E-03
eco,new,8,0.01,515,2.91E-03
eco,new,8,0.01,525,3.02E-03
eco,new,8,0.01,535,3.03E-03
eco,new,8,0.01,545,2.97E-03
eco,new,8,0.01,555,2.82E-03
eco,new,8,0.01,565,2.77E-03
eco,new,8,0.01,575,2.39E-03
eco,new,8,0.01,585,1.76E-03
eco,new,8,0.01,595,1.23E-03
eco,new,8,0.01,605,8.01E-04
eco,new,8,0.01,615,7.51E-04
eco,new,8,0.01,625,6.86E-04
eco,new,8,0.01,635,6.24E-04
eco,new,8,0.01,645,5.72E-04
eco,new,8,0.01,655,5.09E-04
eco,new,8,0.01,665,5.43E-04
eco,new,8,0.01,675,8.60E-04
eco,new,8,0.01,685,1.13E-03
eco,new,8,0.01,695,8.09E-04
eco,new,8,0.01,705,3.70E-04
eco,new,8,0.01,715,1.88E-04
eco,new,8,0.01,725,1.18E-04
eco,new,8,0.01,735,8.11E-05
eco,new,8,0.01,745,6.76E-05
