Sensor 0052 - site1
Site 1
date [EST]	lu 412 [uW/cm^2/nm/sr]	lu 442 [uW/cm^2/nm/sr]	lu 490 [uW/cm^2/nm/sr]	lu 510 [uW/cm^2/nm/sr]	lu 555 [uW/cm^2/nm/sr]	lu 664 [uW/cm^2/nm/sr]	lu 669 [uW/cm^2/nm/sr]
2014-05-17 20:30:00	-0.002346	-0.002828	-0.002230	-0.002579	-0.003406	-0.004863	-0.004786
2014-05-17 21:00:00	-0.002234	-0.002631	-0.002260	-0.002594	-0.003493	-0.004836	-0.004616
2014-05-17 21:30:00	-0.002239	-0.002635	-0.002484	-0.002545	-0.003507	-0.004688	-0.004622
2014-05-17 22:00:00	-0.002293	-0.002736	-0.002467	-0.002609	-0.003423	-0.004657	-0.004945
2014-05-17 22:30:00	-0.002435	-0.002817	-0.002658	-0.002664	-0.003543	-0.005067	-0.004967
2014-05-17 23:00:00	-0.002406	-0.002736	-0.002600	-0.00261	-0.003513	-0.005111	-0.004990
2014-05-17 23:30:00	-0.002291	-0.002788	-0.002398	-0.002433	-0.003353	-0.004843	-0.004762
2014-05-18 00:00:00	-0.002294	-0.002817	-0.002436	-0.002523	-0.003454	-0.004785	-0.004776
2014-05-18 00:30:00	-0.002372	-0.002709	-0.002504	-0.002652	-0.003607	-0.004980	-0.005033
2014-05-18 01:00:00	-0.002369	-0.002805	-0.002383	-0.002406	-0.003455	-0.004956	-0.004739
2014-05-18 01:30:00	-0.002192	-0.002854	-0.002389	-0.002461	-0.003413	-0.005046	-0.004633
2014-05-18 02:00:00	-0.002349	-0.002848	-0.002657	-0.002720	-0.003611	-0.004994	-0.005129
2014-05-18 02:30:00	-0.002545	-0.002965	-0.002503	-0.002611	-0.003616	-0.005065	-0.004973
2014-05-18 03:00:00	-0.002299	-0.002857	-0.002463	-0.002583	-0.003357	-0.004659	-0.004783
2014-05-18 03:30:00	-0.002363	-0.002911	-0.002517	-0.002691	-0.003657	-0.004922	-0.005101
2014-05-18 04:00:00	-0.002180	-0.002039	-0.000926	-0.001086	-0.002065	-0.004410	-0.004700
2014-05-18 04:30:00	-0.001144	0.001072	0.009217	0.011815	0.014994	-0.002176	-0.002164
2014-05-18 05:00:00	0.000727	0.005913	0.023720	0.029693	0.037797	0.000264	0.000144
2014-05-18 05:30:00	0.002556	0.011281	0.042381	0.055017	0.080256	0.009349	0.008613
2014-05-18 06:00:00	0.009029	0.030788	0.115720	0.157811	0.260491	0.042487	0.040313
2014-05-18 06:30:00	0.018129	0.056981	0.207314	0.279976	0.456659	0.079375	0.075619
2014-05-18 07:00:00	0.023699	0.072813	0.257716	0.348238	0.561813	0.096281	0.092169
2014-05-18 07:30:00	0.009611	0.032381	0.119065	0.161617	0.259490	0.045578	0.043076
2014-05-18 08:00:00	0.008418	0.028849	0.10532	0.143469	0.228641	0.038757	0.036525
2014-05-18 08:30:00	0.012285	0.039204	0.136811	0.184845	0.291340	0.050278	0.047774
2014-05-18 09:00:00	0.020058	0.058511	0.199385	0.268872	0.431851	0.067863	0.064772
2014-05-18 09:30:00	0.025249	0.071826	0.235856	0.313774	0.490915	0.076833	0.073274
2014-05-18 10:00:00	0.024663	0.070721	0.231511	0.307501	0.475569	0.072905	0.069918
2014-05-18 10:30:00	0.017780	0.052218	0.168265	0.220558	0.330508	0.051618	0.049267
2014-05-18 11:00:00	0.019764	0.056438	0.181613	0.236746	0.360273	0.056931	0.054973
2014-05-18 11:30:00	0.022575	0.065289	0.212021	0.280251	0.430726	0.069608	0.066296
2014-05-18 12:00:00	0.019361	0.055346	0.182892	0.243385	0.379686	0.059295	0.056715
2014-05-18 12:30:00	0.024088	0.065290	0.204131	0.267866	0.407820	0.063894	0.061364
2014-05-18 13:00:00	0.040673	0.111448	0.355723	0.467142	0.730160	0.111351	0.107132
2014-05-18 13:30:00	0.030241	0.082943	0.263406	0.348113	0.544317	0.08096	0.078154
2014-05-18 14:00:00	0.040752	0.116489	0.394780	0.533575	0.885743	0.140711	0.134858
2014-05-18 14:30:00	0.022820	0.062819	0.204761	0.273467	0.432055	0.065562	0.063658
2014-05-18 15:00:00	0.018989	0.054834	0.190084	0.258834	0.426285	0.062308	0.060174
2014-05-18 15:30:00	0.010788	0.030961	0.107578	0.144577	0.229993	0.029105	0.027870
2014-05-18 16:00:00	0.021808	0.064580	0.232117	0.314661	0.517365	0.081230	0.078145
2014-05-18 16:30:00	0.018140	0.053554	0.187288	0.251391	0.400923	0.064509	0.062309
2014-05-18 17:00:00	0.011076	0.035147	0.126791	0.170460	0.269598	0.042006	0.040539
