Sensor 0052 - site1
Site 1
date [EST]	es 412 [uW/cm^2/nm]	es 442 [uW/cm^2/nm]	es 490 [uW/cm^2/nm]	es 510 [uW/cm^2/nm]	es 555 [uW/cm^2/nm]	es 664 [uW/cm^2/nm]	es 669 [uW/cm^2/nm]
2015-04-22 10:00:00	102.848444	118.348545	130.621778	125.74798	120.834244	103.889689	104.815766
2015-04-22 11:00:00	106.409837	121.59478	133.750543	128.634764	123.515757	105.517531	106.452146
2015-04-22 12:00:00	109.383664	125.036335	138.085788	132.861667	127.541096	108.843778	110.108431
2015-04-22 13:00:00	100.557487	114.888155	127.648163	122.858947	117.583559	100.24796	101.949963
2015-04-22 14:00:00	83.738487	95.918635	107.48955	103.856251	99.086197	84.765985	86.7497
2015-04-22 15:00:00	46.408035	51.856209	56.384092	53.978707	50.652661	42.654867	43.724091
2015-04-22 16:00:00	48.04064	57.250087	66.443198	64.553586	63.280671	58.306821	59.270153
2015-04-22 17:00:00	16.793793	18.215597	18.599384	17.131098	14.707687	11.402259	11.603977
2015-04-22 18:00:00	3.236401	3.938414	4.927693	4.886807	4.797794	6.66885	6.377584
2015-04-22 19:00:00	0.012773	-0.009666	0.00414	-0.006481	0.001217	0.01508	-0.013843
2015-04-22 20:00:00	0.009785	-0.013444	7.88E-4	-0.009447	-8.26E-4	0.013282	-0.014683
2015-04-22 21:00:00	0.00813	-0.013387	3.14E-4	-0.007993	-7.68E-4	0.013706	-0.016084
2015-04-22 22:00:00	0.009189	-0.012917	6.26E-4	-0.008927	-7.63E-4	0.012891	-0.015747
2015-04-22 23:00:00	0.008729	-0.013465	8.13E-4	-0.008355	-4.94E-4	0.013267	-0.016023
2015-04-23 00:00:00	0.008701	-0.014628	0.001861	-0.010306	-0.001416	0.013787	-0.018255
2015-04-23 01:00:00	0.010223	-0.014219	0.001189	-0.009951	-0.001725	0.013697	-0.016762
2015-04-23 02:00:00	0.009585	-0.016128	0.001299	-0.009881	-0.002163	0.013687	-0.016087
2015-04-23 03:00:00	0.01054	-0.015828	9.11E-4	-0.009903	-0.001734	0.013881	-0.017127
2015-04-23 04:00:00	0.010671	-0.019947	0.003142	-0.011176	-0.004096	0.01619	-0.019955
2015-04-23 05:00:00	0.741535	0.769965	0.776804	0.663737	0.504405	0.480562	0.460031
2015-04-23 06:00:00	23.791701	28.71466	33.860263	33.264091	32.409763	31.943862	32.465864
2015-04-23 07:00:00	50.705487	60.219084	68.595704	66.194015	63.855084	57.333821	58.208106
2015-04-23 08:00:00	76.752182	90.011196	101.069986	97.404879	92.940491	81.826452	82.960357
2015-04-23 09:00:00	94.481697	108.811451	120.490198	116.308998	110.787909	95.69194	96.74952
2015-04-23 10:00:00	112.192758	128.250659	141.029457	136.123531	129.928721	111.226747	112.221317
2015-04-23 11:00:00	40.985604	45.462063	48.788395	46.6847	44.098022	36.208339	36.700503
2015-04-23 12:00:00	23.739422	26.325368	28.149468	26.906155	25.669544	21.125202	21.393099
2015-04-23 13:00:00	13.07515	14.388276	15.381222	14.67676	13.948752	11.246864	11.378561
2015-04-23 14:00:00	14.248567	15.597984	16.521837	15.699488	14.765111	12.09094	12.213202
2015-04-23 15:00:00	11.196616	12.315062	12.993411	12.328735	11.602727	9.550304	9.625876
2015-04-23 16:00:00	10.814536	12.083775	12.945147	12.273431	11.502814	9.74203	9.850204
2015-04-23 17:00:00	5.834255	6.402057	6.725342	6.276957	5.653001	4.90223	4.960514
2015-04-23 18:00:00	2.006471	2.213023	2.334265	2.084929	1.697277	1.733406	1.760333
2015-04-23 19:00:00	0.01447	-0.012149	0.007071	-0.008444	-7.67E-4	0.017288	-0.016503
2015-04-23 20:00:00	0.009543	-0.01822	0.002541	-0.010657	-0.002079	0.014917	-0.018644
2015-04-23 21:00:00	0.009855	-0.019047	0.002325	-0.010524	-0.002769	0.015576	-0.020115
2015-04-23 22:00:00	0.010321	-0.018919	0.00332	-0.011408	-0.002635	0.016633	-0.019917
2015-04-23 23:00:00	0.010082	-0.018571	0.002926	-0.01087	-0.00357	0.015898	-0.019078
2015-04-24 00:00:00	0.010232	-0.019608	0.002931	-0.011013	-0.003499	0.015746	-0.019785
2015-04-24 01:00:00	0.010669	-0.019216	0.002993	-0.011974	-0.003365	0.016661	-0.020672
2015-04-24 02:00:00	0.010375	-0.02146	0.003274	-0.011561	-0.002864	0.016874	-0.020823
2015-04-24 03:00:00	0.011263	-0.019498	0.003175	-0.011544	-0.004416	0.016756	-0.02013
