time, beta470, beta532, FL_CDOM
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2021/08/04 15:31:42.688, 213, 4130, 2
2021/08/04 15:31:43.808, 206, 4130, 67
2021/08/04 15:31:44.943, 210, 4130, 82
2021/08/04 15:31:46.080, 215, 4130, 74
2021/08/04 15:31:47.216, 211, 4130, 19
2021/08/04 15:31:48.352, 207, 4130, 134
2021/08/04 15:31:49.488, 210, 4130, 46
2021/08/04 15:31:50.609, 210, 4130, 65
2021/08/04 15:31:51.744, 212, 4130, -47
2021/08/04 15:31:52.880, 213, 4130, -7
2021/08/04 15:31:54.016, 209, 4130, 141
2021/08/04 15:31:55.153, 206, 4130, 153
2021/08/04 15:31:56.289, 208, 4130, 76
2021/08/04 15:31:57.408, 205, 4130, 132
2021/08/04 15:31:58.545, 214, 4130, 113
2021/08/04 15:31:59.680, 209, 4130, 99
2021/08/04 15:32:00.817, 217, 4130, 43
2021/08/04 15:32:01.953, 219, 4130, 44
2021/08/04 15:32:03.088, 219, 4130, 25
2021/08/04 15:32:04.225, 212, 4130, 46
2021/08/04 15:32:05.361, 216, 4130, 82
2021/08/04 15:32:06.481, 218, 4130, 99
2021/08/04 15:32:07.616, 224, 4130, 116
2021/08/04 15:32:08.753, 220, 4130, 70
2021/08/04 15:32:09.889, 219, 4130, -7
2021/08/04 15:32:11.025, 214, 4130, 53
2021/08/04 15:32:12.160, 215, 4130, 70
2021/08/04 15:32:13.281, 216, 4130, 77
2021/08/04 15:32:14.417, 215, 4130, 23
2021/08/04 15:32:15.553, 220, 4130, 143
2021/08/04 15:32:16.690, 221, 4130, 79
2021/08/04 15:32:17.825, 223, 4130, 33
2021/08/04 15:32:18.961, 220, 4130, 31
2021/08/04 15:32:20.081, 219, 4130, 52
2021/08/04 15:32:21.217, 219, 4130, 139
2021/08/04 15:32:22.354, 220, 4130, 145
2021/08/04 15:32:23.489, 219, 4130, 52
2021/08/04 15:32:24.625, 215, 4130, 95
2021/08/04 15:32:25.761, 219, 4130, 115
2021/08/04 15:32:26.897, 220, 4130, 49
2021/08/04 15:32:28.034, 222, 4130, 45
2021/08/04 15:32:29.169, 220, 4130, 27
2021/08/04 15:32:30.289, 215, 4130, 99
2021/08/04 15:32:31.425, 223, 4130, 121
2021/08/04 15:32:32.561, 222, 4130, 62
2021/08/04 15:32:33.697, 218, 4130, 26
2021/08/04 15:32:34.834, 223, 4130, -1
2021/08/04 15:32:35.969, 224, 4130, 63
2021/08/04 15:32:37.090, 216, 4130, 5
2021/08/04 15:32:38.225, 216, 4130, 79
2021/08/04 15:32:39.362, 216, 4130, 22
2021/08/04 15:32:40.498, 218, 4130, 142
2021/08/04 15:32:41.634, 224, 4130, 60
2021/08/04 15:32:42.754, 219, 4130, 10
2021/08/04 15:32:43.890, 213, 4130, 133
2021/08/04 15:32:45.042, 217, 4130, 54
2021/08/04 15:32:46.162, 216, 4130, 27
2021/08/04 15:32:47.298, 224, 4130, 26
2021/08/04 15:32:48.435, 219, 4130, 66
2021/08/04 15:32:49.571, 222, 4130, 55
2021/08/04 15:32:50.706, 218, 4130, 43
2021/08/04 15:32:51.842, 213, 4130, 166
2021/08/04 15:32:52.962, 223, 4130, 51
2021/08/04 15:32:54.098, 220, 4130, 40
2021/08/04 15:32:55.234, 222, 4130, 59
2021/08/04 15:32:56.370, 220, 4130, 12
2021/08/04 15:32:57.507, 225, 4130, 23
2021/08/04 15:32:58.626, 223, 4130, 10
2021/08/04 15:32:59.762, 221, 4130, 60
2021/08/04 15:33:00.898, 228, 4130, 75
2021/08/04 15:33:02.035, 220, 4130, 66
2021/08/04 15:33:03.170, 228, 4130, 91
2021/08/04 15:33:04.291, 225, 4130, 76
2021/08/04 15:33:05.426, 223, 4130, 115
2021/08/04 15:33:06.579, 219, 4130, 101
2021/08/04 15:33:07.698, 225, 4130, 71
2021/08/04 15:33:08.834, 228, 4130, 64
2021/08/04 15:33:09.971, 221, 4130, 63
2021/08/04 15:33:11.107, 226, 4130, 74
2021/08/04 15:33:12.243, 227, 4130, 52
2021/08/04 15:33:13.378, 230, 4130, 29
2021/08/04 15:33:14.499, 221, 4130, 1
2021/08/04 15:33:15.635, 224, 4130, 60
2021/08/04 15:33:16.771, 221, 4130, 113
2021/08/04 15:33:17.907, 223, 4130, 141
2021/08/04 15:33:19.043, 230, 4130, -9
2021/08/04 15:33:20.163, 223, 4130, 9
2021/08/04 15:33:21.299, 222, 4130, 80
2021/08/04 15:33:22.435, 223, 4130, 21
2021/08/04 15:33:23.571, 224, 4130, 144
2021/08/04 15:33:24.707, 226, 4130, 6
2021/08/04 15:33:25.843, 223, 4130, 73
2021/08/04 15:33:26.964, 229, 4130, 146
2021/08/04 15:33:28.115, 221, 4130, 117
2021/08/04 15:33:29.251, 222, 4130, 103
2021/08/04 15:33:30.372, 228, 4130, 97
2021/08/04 15:33:31.507, 219, 4130, 93
2021/08/04 15:33:32.643, 226, 4130, 13
2021/08/04 15:33:33.779, 220, 4130, 118
2021/08/04 15:33:34.915, 224, 4130, 77
2021/08/04 15:33:36.051, 223, 4130, 47
2021/08/04 15:33:37.172, 227, 4130, 44
2021/08/04 15:33:38.307, 221, 4130, 163
2021/08/04 15:33:39.443, 222, 4130, 88
2021/08/04 15:33:40.580, 220, 4130, 97
2021/08/04 15:33:41.716, 229, 4130, 90
2021/08/04 15:33:42.851, 228, 4130, -1
2021/08/04 15:33:43.971, 226, 4130, 67
2021/08/04 15:33:45.108, 227, 4130, 99
2021/08/04 15:33:46.244, 222, 4130, 17
2021/08/04 15:33:47.380, 217, 4130, 99
2021/08/04 15:33:48.516, 221, 4130, 51
2021/08/04 15:33:49.651, 223, 4130, 63
2021/08/04 15:33:50.788, 224, 4130, 47
2021/08/04 15:33:51.924, 223, 4130, 32
2021/08/04 15:33:53.044, 220, 4130, 71
2021/08/04 15:33:54.181, 219, 4130, 61
2021/08/04 15:33:55.316, 222, 4130, -24
2021/08/04 15:33:56.452, 224, 4130, 21
2021/08/04 15:33:57.589, 223, 4130, 53
2021/08/04 15:33:58.709, 224, 4130, 14
2021/08/04 15:33:59.844, 219, 4130, 117
2021/08/04 15:34:00.980, 229, 4130, 42
2021/08/04 15:34:02.117, 217, 4130, 74
2021/08/04 15:34:03.253, 220, 4130, 61
2021/08/04 15:34:04.388, 217, 4130, 102
2021/08/04 15:34:05.508, 235, 4130, 110
2021/08/04 15:34:06.645, 249, 4130, -16
2021/08/04 15:34:07.781, 257, 4130, 58
2021/08/04 15:34:08.917, 250, 4130, 108
2021/08/04 15:34:10.052, 256, 4130, 59
2021/08/04 15:34:11.188, 255, 4130, 55
2021/08/04 15:34:12.326, 254, 4130, 128
2021/08/04 15:34:13.460, 262, 4130, 89
2021/08/04 15:34:14.597, 254, 4130, 50
2021/08/04 15:34:15.717, 252, 4130, 56
2021/08/04 15:34:16.853, 255, 4130, 102
2021/08/04 15:34:17.989, 259, 4130, 46
2021/08/04 15:34:19.125, 256, 4130, 69
2021/08/04 15:34:20.261, 256, 4130, 17
2021/08/04 15:34:21.396, 259, 4130, 6
2021/08/04 15:34:22.517, 254, 4130, 121
2021/08/04 15:34:23.652, 260, 4130, 3
2021/08/04 15:34:24.789, 253, 4130, 77
2021/08/04 15:34:25.925, 257, 4130, 171
2021/08/04 15:34:27.060, 245, 4130, 51
2021/08/04 15:34:28.197, 256, 4130, 102
2021/08/04 15:34:29.318, 247, 4130, 19
2021/08/04 15:34:30.454, 262, 4130, -43
2021/08/04 15:34:31.589, 257, 4130, 34
2021/08/04 15:34:32.726, 259, 4130, 22
2021/08/04 15:34:33.861, 258, 4130, 89
2021/08/04 15:34:34.997, 260, 4130, 49
2021/08/04 15:34:36.133, 258, 4130, 50
2021/08/04 15:34:37.269, 255, 4130, 45
2021/08/04 15:34:38.406, 262, 4130, 89
2021/08/04 15:34:39.525, 254, 4130, 67
2021/08/04 15:34:40.661, 254, 4130, 100
2021/08/04 15:34:41.797, 261, 4130, 42
2021/08/04 15:34:42.934, 259, 4130, 89
2021/08/04 15:34:44.070, 261, 4130, -24
2021/08/04 15:34:45.205, 258, 4130, 91
2021/08/04 15:34:46.325, 263, 4130, 74
2021/08/04 15:34:47.462, 258, 4130, 85
2021/08/04 15:34:48.598, 248, 4130, 39
2021/08/04 15:34:49.734, 252, 4130, 83
2021/08/04 15:34:50.870, 255, 4130, 91
2021/08/04 15:34:52.005, 256, 4130, 51
2021/08/04 15:34:53.142, 259, 4130, 9
2021/08/04 15:34:54.277, 256, 4130, -3
2021/08/04 15:34:55.398, 259, 4130, 95
2021/08/04 15:34:56.535, 256, 4130, 21
2021/08/04 15:34:57.670, 256, 4130, 19
