time, beta470, beta532, FL_CDOM
2021/08/04 15:34:58.805, 252, 4130, 107
2021/08/04 15:34:59.942, 252, 4130, 38
2021/08/04 15:35:01.078, 250, 4130, 91
2021/08/04 15:35:02.198, 256, 4130, 61
2021/08/04 15:35:03.334, 256, 4130, 7
2021/08/04 15:35:04.469, 262, 4130, 85
2021/08/04 15:35:05.605, 251, 4130, 50
2021/08/04 15:35:06.742, 252, 4130, 118
2021/08/04 15:35:07.877, 261, 4130, 127
2021/08/04 15:35:08.998, 257, 4130, 133
2021/08/04 15:35:10.133, 256, 4130, -2
2021/08/04 15:35:11.270, 257, 4130, 86
2021/08/04 15:35:12.406, 259, 4130, 85
2021/08/04 15:35:13.542, 251, 4130, 112
2021/08/04 15:35:14.678, 253, 4130, 83
2021/08/04 15:35:15.814, 260, 4130, 111
2021/08/04 15:35:16.950, 261, 4130, 50
2021/08/04 15:35:18.086, 258, 4130, 42
2021/08/04 15:35:19.206, 261, 4130, 140
2021/08/04 15:35:20.342, 259, 4130, -15
2021/08/04 15:35:21.478, 259, 4130, 89
2021/08/04 15:35:22.614, 259, 4130, 81
2021/08/04 15:35:23.750, 259, 4130, 122
2021/08/04 15:35:24.886, 262, 4130, 46
2021/08/04 15:35:26.022, 260, 4130, 125
2021/08/04 15:35:27.142, 261, 4130, -3
2021/08/04 15:35:28.278, 255, 4130, 96
2021/08/04 15:35:29.414, 266, 4130, 41
2021/08/04 15:35:30.551, 266, 4130, 120
2021/08/04 15:35:31.687, 263, 4130, 15
2021/08/04 15:35:32.822, 267, 4130, 38
2021/08/04 15:35:33.942, 262, 4130, 70
2021/08/04 15:35:35.079, 265, 4130, 45
2021/08/04 15:35:36.231, 267, 4130, 51
2021/08/04 15:35:37.351, 258, 4130, 35
2021/08/04 15:35:38.487, 263, 4130, 91
2021/08/04 15:35:39.622, 262, 4130, 45
2021/08/04 15:35:40.758, 265, 4130, 145
2021/08/04 15:35:41.895, 259, 4130, 56
2021/08/04 15:35:43.031, 267, 4130, 108
2021/08/04 15:35:44.167, 267, 4130, 100
2021/08/04 15:35:45.287, 267, 4130, 35
2021/08/04 15:35:46.423, 274, 4130, 79
2021/08/04 15:35:47.559, 294, 4130, 846
2021/08/04 15:35:48.695, 2408, 3066, 2529
2021/08/04 15:35:49.830, 1778, 2552, 2152
2021/08/04 15:35:50.967, 1809, 2957, 2328
2021/08/04 15:35:52.103, 1158, 1621, 779
2021/08/04 15:35:53.239, 107, 210, 8
2021/08/04 15:35:54.359, 105, 224, 97
2021/08/04 15:35:55.495, 101, 209, 129
2021/08/04 15:35:56.631, 107, 203, 35
2021/08/04 15:35:57.767, 107, 222, 89
2021/08/04 15:35:58.903, 104, 192, 58
2021/08/04 15:36:00.039, 109, 212, 53
2021/08/04 15:36:01.159, 111, 210, 12
2021/08/04 15:36:02.295, 104, 213, 138
2021/08/04 15:36:03.431, 102, 206, 2
2021/08/04 15:36:04.551, 106, 218, 14
2021/08/04 15:36:05.687, 107, 208, 23
2021/08/04 15:36:06.824, 104, 204, 82
2021/08/04 15:36:07.959, 110, 212, -14
2021/08/04 15:36:09.080, 107, 222, 97
2021/08/04 15:36:10.216, 104, 210, 50
2021/08/04 15:36:11.351, 105, 218, 83
2021/08/04 15:36:12.488, 102, 189, 73
2021/08/04 15:36:13.608, 110, 247, 92
2021/08/04 15:36:14.744, 105, 215, 96
2021/08/04 15:36:15.880, 106, 219, 87
2021/08/04 15:36:17.016, 112, 217, 84
2021/08/04 15:36:18.136, 105, 213, 49
2021/08/04 15:36:19.288, 108, 214, -27
2021/08/04 15:36:20.408, 101, 212, 189
2021/08/04 15:36:21.543, 105, 212, 66
2021/08/04 15:36:22.681, 98, 197, 29
2021/08/04 15:36:23.816, 105, 205, 48
2021/08/04 15:36:24.936, 111, 218, 26
2021/08/04 15:36:26.072, 107, 221, 113
2021/08/04 15:36:27.208, 110, 216, 44
2021/08/04 15:36:28.344, 108, 222, 153
2021/08/04 15:36:29.464, 100, 204, 142
2021/08/04 15:36:30.600, 106, 203, 29
2021/08/04 15:36:31.736, 102, 203, 76
2021/08/04 15:36:32.872, 110, 231, 92
2021/08/04 15:36:33.993, 109, 228, 70
2021/08/04 15:36:35.128, 102, 224, 50
2021/08/04 15:36:36.265, 110, 250, 49
2021/08/04 15:36:37.401, 111, 237, 101
2021/08/04 15:36:38.521, 103, 202, 70
2021/08/04 15:36:39.657, 107, 220, 24
2021/08/04 15:36:40.792, 109, 219, 97
2021/08/04 15:36:41.929, 105, 223, 57
2021/08/04 15:36:43.065, 106, 205, 37
2021/08/04 15:36:44.200, 107, 205, -34
2021/08/04 15:36:45.321, 111, 227, 68
2021/08/04 15:36:46.457, 105, 213, 128
2021/08/04 15:36:47.594, 104, 195, 107
2021/08/04 15:36:48.729, 104, 215, 145
2021/08/04 15:36:49.865, 108, 206, -47
2021/08/04 15:36:50.986, 106, 216, 166
2021/08/04 15:36:52.121, 109, 226, 111
2021/08/04 15:36:53.256, 107, 217, 37
2021/08/04 15:36:54.393, 107, 225, 118
2021/08/04 15:36:55.513, 110, 244, -6
2021/08/04 15:36:56.649, 104, 190, 33
2021/08/04 15:36:57.785, 109, 210, 146
2021/08/04 15:36:58.921, 108, 206, 68
2021/08/04 15:37:00.041, 107, 214, 71
2021/08/04 15:37:01.177, 107, 237, 48
2021/08/04 15:37:02.313, 102, 223, 136
2021/08/04 15:37:03.449, 105, 232, 73
2021/08/04 15:37:04.585, 105, 203, 121
2021/08/04 15:37:05.722, 104, 219, 11
2021/08/04 15:37:06.841, 111, 243, -23
2021/08/04 15:37:07.977, 111, 218, 55
2021/08/04 15:37:09.113, 104, 226, 55
2021/08/04 15:37:10.249, 106, 213, 25
2021/08/04 15:37:11.369, 109, 238, 121
2021/08/04 15:37:12.505, 107, 211, 149
2021/08/04 15:37:13.642, 101, 212, 88
2021/08/04 15:37:14.778, 111, 225, 54
2021/08/04 15:37:15.898, 107, 207, 118
2021/08/04 15:37:17.033, 108, 217, 27
2021/08/04 15:37:18.170, 107, 226, -31
2021/08/04 15:37:19.306, 104, 228, 71
2021/08/04 15:37:20.425, 104, 225, 62
2021/08/04 15:37:21.561, 103, 223, 87
2021/08/04 15:37:22.699, 109, 209, 65
2021/08/04 15:37:23.833, 108, 229, 16
2021/08/04 15:37:24.971, 107, 251, 85
2021/08/04 15:37:26.106, 108, 238, 56
2021/08/04 15:37:27.226, 107, 226, 123
2021/08/04 15:37:28.362, 109, 222, 98
2021/08/04 15:37:29.498, 106, 217, 50
2021/08/04 15:37:30.634, 107, 229, 45
2021/08/04 15:37:31.754, 106, 209, 19
2021/08/04 15:37:32.889, 105, 224, 12
2021/08/04 15:37:34.025, 109, 238, -5
2021/08/04 15:37:35.162, 105, 222, 69
2021/08/04 15:37:36.282, 105, 237, 72
2021/08/04 15:37:37.419, 114, 249, 43
2021/08/04 15:37:38.553, 110, 241, 38
2021/08/04 15:37:39.690, 111, 243, -5
2021/08/04 15:37:40.810, 108, 233, 111
2021/08/04 15:37:41.946, 115, 243, 46
2021/08/04 15:37:43.083, 111, 240, 93
2021/08/04 15:37:44.219, 114, 236, 73
2021/08/04 15:37:45.355, 110, 234, -4
2021/08/04 15:37:46.491, 114, 227, 70
2021/08/04 15:37:47.611, 106, 242, 50
2021/08/04 15:37:48.746, 109, 229, 109
2021/08/04 15:37:49.882, 111, 246, 49
2021/08/04 15:37:51.019, 110, 249, 124
2021/08/04 15:37:52.139, 111, 236, 93
2021/08/04 15:37:53.275, 106, 234, 101
2021/08/04 15:37:54.410, 108, 236, 147
2021/08/04 15:37:55.546, 112, 273, 105
2021/08/04 15:37:56.667, 109, 246, 172
2021/08/04 15:37:57.803, 111, 231, 62
2021/08/04 15:37:58.939, 104, 241, 97
2021/08/04 15:38:00.074, 110, 233, 4
2021/08/04 15:38:01.195, 114, 238, 139
2021/08/04 15:38:02.330, 111, 246, 42
2021/08/04 15:38:03.467, 114, 243, 43
2021/08/04 15:38:04.603, 110, 215, 39
2021/08/04 15:38:05.739, 105, 231, 18
2021/08/04 15:38:06.874, 109, 229, 14
2021/08/04 15:38:07.996, 108, 216, 68
2021/08/04 15:38:09.131, 112, 226, 12
2021/08/04 15:38:10.267, 112, 241, 14
2021/08/04 15:38:11.403, 111, 232, 38
2021/08/04 15:38:12.523, 104, 238, 89
2021/08/04 15:38:13.659, 111, 234, 68
2021/08/04 15:38:14.796, 109, 226, 114
2021/08/04 15:38:15.931, 106, 228, 57
2021/08/04 15:38:17.052, 112, 231, 76
2021/08/04 15:38:18.188, 109, 231, 124
2021/08/04 15:38:19.323, 108, 250, 107
2021/08/04 15:38:20.459, 108, 242, 106
2021/08/04 15:38:21.580, 110, 219, -22
2021/08/04 15:38:22.716, 110, 237, 136
2021/08/04 15:38:23.852, 114, 230, 25
2021/08/04 15:38:24.987, 111, 224, 58
2021/08/04 15:38:26.107, 108, 225, 56
2021/08/04 15:38:27.260, 112, 225, 37
2021/08/04 15:38:28.380, 116, 257, 69
2021/08/04 15:38:29.516, 109, 228, 73
2021/08/04 15:38:30.651, 112, 233, 44
2021/08/04 15:38:31.788, 107, 230, 92
2021/08/04 15:38:32.908, 105, 233, 74
2021/08/04 15:38:34.044, 113, 226, 43
2021/08/04 15:38:35.179, 112, 245, 0
2021/08/04 15:38:36.316, 108, 234, 111
2021/08/04 15:38:37.436, 108, 240, 142
2021/08/04 15:38:38.572, 110, 210, 33
2021/08/04 15:38:39.708, 110, 236, 15
2021/08/04 15:38:40.844, 113, 241, 83
2021/08/04 15:38:41.964, 113, 234, 5
2021/08/04 15:38:43.100, 108, 239, 17
2021/08/04 15:38:44.237, 114, 246, -47
2021/08/04 15:38:45.372, 111, 247, 57
2021/08/04 15:38:46.492, 112, 248, 37
2021/08/04 15:38:47.628, 111, 250, 51
2021/08/04 15:38:48.764, 111, 237, 41
2021/08/04 15:38:49.900, 111, 253, 136
2021/08/04 15:38:51.036, 107, 236, 115
2021/08/04 15:38:52.173, 109, 242, 56
2021/08/04 15:38:53.293, 109, 251, 79
2021/08/04 15:38:54.428, 112, 250, 87
2021/08/04 15:38:55.565, 113, 247, -21
2021/08/04 15:38:56.700, 109, 225, 44
2021/08/04 15:38:57.821, 106, 250, 15
2021/08/04 15:38:58.957, 116, 263, -4
2021/08/04 15:39:00.092, 115, 261, 40
2021/08/04 15:39:01.228, 116, 269, 13
2021/08/04 15:39:02.348, 114, 248, 98
2021/08/04 15:39:03.484, 110, 250, 80
2021/08/04 15:39:04.620, 112, 233, 4
2021/08/04 15:39:05.756, 118, 267, -10
2021/08/04 15:39:06.877, 107, 248, 80
2021/08/04 15:39:08.012, 111, 245, 80
2021/08/04 15:39:09.149, 111, 249, 91
2021/08/04 15:39:10.285, 110, 236, -6
2021/08/04 15:39:11.420, 111, 258, 38
2021/08/04 15:39:12.541, 117, 260, 69
2021/08/04 15:39:13.676, 110, 248, 77
2021/08/04 15:39:14.813, 109, 239, 70
2021/08/04 15:39:15.950, 114, 257, 86
2021/08/04 15:39:17.069, 109, 235, 97
2021/08/04 15:39:18.205, 115, 258, 70
2021/08/04 15:39:19.341, 118, 251, 67
2021/08/04 15:39:20.477, 113, 283, 33
2021/08/04 15:39:21.598, 114, 347, 21
2021/08/04 15:39:22.733, 114, 317, 71
2021/08/04 15:39:23.870, 116, 292, 53
2021/08/04 15:39:25.006, 113, 337, 184
2021/08/04 15:39:26.125, 112, 295, 58
2021/08/04 15:39:27.261, 106, 307, 108
2021/08/04 15:39:28.398, 109, 318, 46
2021/08/04 15:39:29.533, 113, 310, 20
2021/08/04 15:39:30.669, 117, 304, 26
2021/08/04 15:39:31.805, 110, 295, 35
2021/08/04 15:39:32.941, 110, 317, 94
2021/08/04 15:39:34.062, 110, 324, 29
2021/08/04 15:39:35.197, 112, 340, 142
2021/08/04 15:39:36.334, 115, 347, 95
2021/08/04 15:39:37.469, 110, 330, 209
2021/08/04 15:39:38.590, 114, 328, 79
2021/08/04 15:39:39.726, 110, 311, 73
2021/08/04 15:39:40.861, 111, 298, 37
2021/08/04 15:39:41.997, 112, 316, 125
2021/08/04 15:39:43.118, 111, 337, 53
2021/08/04 15:39:44.254, 107, 317, 60
2021/08/04 15:39:45.390, 112, 311, -7
2021/08/04 15:39:46.526, 119, 345, 32
2021/08/04 15:39:47.646, 116, 317, -10
2021/08/04 15:39:48.782, 117, 314, 66
2021/08/04 15:39:49.918, 119, 331, 131
2021/08/04 15:39:51.055, 116, 333, 66
2021/08/04 15:39:52.190, 113, 317, 59
2021/08/04 15:39:53.326, 113, 299, 16
2021/08/04 15:39:54.446, 115, 311, 5
2021/08/04 15:39:55.582, 113, 305, 92
2021/08/04 15:39:56.718, 113, 312, 43
2021/08/04 15:39:57.854, 118, 311, 8
2021/08/04 15:39:58.974, 119, 308, 26
2021/08/04 15:40:00.110, 112, 308, 90
2021/08/04 15:40:01.247, 115, 332, 105
2021/08/04 15:40:02.382, 116, 321, 122
2021/08/04 15:40:03.502, 119, 319, 122
2021/08/04 15:40:04.639, 111, 327, 133
2021/08/04 15:40:05.775, 114, 310, 24
2021/08/04 15:40:06.911, 115, 317, 23
2021/08/04 15:40:08.046, 107, 307, 80
2021/08/04 15:40:09.167, 116, 327, 47
2021/08/04 15:40:10.303, 115, 309, 41
2021/08/04 15:40:11.438, 114, 361, 97
2021/08/04 15:40:12.575, 111, 328, 84
2021/08/04 15:40:13.711, 118, 325, -16
2021/08/04 15:40:14.847, 120, 332, 72
2021/08/04 15:40:15.967, 120, 352, 58
2021/08/04 15:40:17.102, 121, 344, 98
2021/08/04 15:40:18.239, 116, 344, 68
2021/08/04 15:40:19.375, 112, 333, 144
2021/08/04 15:40:20.495, 115, 332, 69
2021/08/04 15:40:21.631, 116, 335, 84
2021/08/04 15:40:22.767, 112, 332, 96
2021/08/04 15:40:23.903, 111, 334, 104
2021/08/04 15:40:25.023, 113, 322, 72
2021/08/04 15:40:26.159, 115, 333, 79
2021/08/04 15:40:27.295, 115, 308, 43
2021/08/04 15:40:28.431, 115, 346, 108
2021/08/04 15:40:29.567, 111, 335, 119
2021/08/04 15:40:30.688, 111, 326, 80
2021/08/04 15:40:31.823, 112, 322, 48
2021/08/04 15:40:32.959, 117, 332, 67
2021/08/04 15:40:34.095, 116, 344, 101
2021/08/04 15:40:35.231, 114, 307, 152
2021/08/04 15:40:36.367, 119, 341, 54
2021/08/04 15:40:37.487, 115, 338, 41
2021/08/04 15:40:38.624, 115, 339, 83
2021/08/04 15:40:39.760, 115, 327, 37
2021/08/04 15:40:40.896, 119, 327, 58
2021/08/04 15:40:42.015, 124, 325, 26
2021/08/04 15:40:43.152, 118, 355, 38
2021/08/04 15:40:44.288, 119, 366, 39
2021/08/04 15:40:45.424, 120, 396, 15
2021/08/04 15:40:46.544, 120, 371, 11
2021/08/04 15:40:47.680, 117, 375, 88
2021/08/04 15:40:48.816, 119, 408, 67
2021/08/04 15:40:49.953, 119, 404, 101
2021/08/04 15:40:51.072, 113, 365, 47
2021/08/04 15:40:52.208, 116, 388, 68
2021/08/04 15:40:53.344, 117, 373, 71
2021/08/04 15:40:54.481, 113, 395, 96
2021/08/04 15:40:55.600, 117, 394, 52
2021/08/04 15:40:56.753, 117, 390, 99
2021/08/04 15:40:57.872, 114, 388, 30
2021/08/04 15:40:59.008, 117, 396, 35
2021/08/04 15:41:00.145, 116, 391, 66
2021/08/04 15:41:01.281, 114, 388, 106
2021/08/04 15:41:02.400, 119, 379, 43
2021/08/04 15:41:03.536, 119, 381, 11
2021/08/04 15:41:04.673, 119, 377, 51
2021/08/04 15:41:05.808, 113, 384, 86
2021/08/04 15:41:06.929, 113, 364, 88
2021/08/04 15:41:08.065, 113, 374, 53
2021/08/04 15:41:09.201, 112, 377, 94
2021/08/04 15:41:10.337, 115, 385, 65
2021/08/04 15:41:11.457, 118, 383, 65
2021/08/04 15:41:12.594, 118, 383, 59
2021/08/04 15:41:13.729, 122, 387, -14
2021/08/04 15:41:14.864, 117, 376, 113
2021/08/04 15:41:15.985, 120, 392, 34
2021/08/04 15:41:17.120, 117, 380, 34
2021/08/04 15:41:18.256, 114, 365, 96
2021/08/04 15:41:19.393, 116, 386, 101
2021/08/04 15:41:20.529, 118, 383, 8
2021/08/04 15:41:21.665, 116, 378, 24
2021/08/04 15:41:22.785, 116, 373, 14
2021/08/04 15:41:23.921, 117, 386, 62
2021/08/04 15:41:25.057, 116, 380, 94
2021/08/04 15:41:26.193, 116, 398, 88
2021/08/04 15:41:27.313, 116, 365, 111
2021/08/04 15:41:28.449, 117, 413, 151
2021/08/04 15:41:29.585, 118, 397, 123
2021/08/04 15:41:30.722, 117, 397, 142
2021/08/04 15:41:31.857, 119, 380, 50
2021/08/04 15:41:32.977, 115, 354, 72
2021/08/04 15:41:34.113, 117, 388, 13
2021/08/04 15:41:35.249, 117, 396, 54
2021/08/04 15:41:36.385, 117, 386, 94
2021/08/04 15:41:37.506, 116, 390, 58
2021/08/04 15:41:38.641, 118, 388, -16
2021/08/04 15:41:39.778, 117, 380, -32
2021/08/04 15:41:40.913, 121, 397, 17
2021/08/04 15:41:42.050, 116, 386, 102
2021/08/04 15:41:43.186, 123, 400, 45
2021/08/04 15:41:44.306, 121, 385, 80
2021/08/04 15:41:45.441, 125, 400, 10
2021/08/04 15:41:46.577, 111, 399, 36
2021/08/04 15:41:47.714, 117, 379, 8
2021/08/04 15:41:48.850, 117, 371, 113
2021/08/04 15:41:49.970, 123, 381, 0
2021/08/04 15:41:51.105, 123, 391, 53
2021/08/04 15:41:52.242, 121, 390, 51
2021/08/04 15:41:53.362, 118, 365, -1
2021/08/04 15:41:54.497, 113, 358, 53
2021/08/04 15:41:55.634, 125, 395, 19
2021/08/04 15:41:56.770, 119, 380, 134
2021/08/04 15:41:57.890, 118, 390, 62
2021/08/04 15:41:59.026, 118, 390, 58
2021/08/04 15:42:00.162, 122, 397, 102
2021/08/04 15:42:01.298, 124, 391, 54
2021/08/04 15:42:02.434, 113, 370, 92
2021/08/04 15:42:03.571, 121, 372, 41
2021/08/04 15:42:04.690, 114, 378, 158
2021/08/04 15:42:05.827, 117, 368, 102
2021/08/04 15:42:06.962, 116, 375, 13
2021/08/04 15:42:08.098, 120, 374, 72
2021/08/04 15:42:09.218, 122, 381, -39
2021/08/04 15:42:10.354, 119, 402, 3
2021/08/04 15:42:11.490, 114, 371, -3
2021/08/04 15:42:12.626, 121, 396, 59
2021/08/04 15:42:13.747, 140, 390, 94
2021/08/04 15:42:14.883, 124, 396, 93
2021/08/04 15:42:16.019, 120, 412, 151
2021/08/04 15:42:17.154, 128, 414, 127
2021/08/04 15:42:18.290, 127, 406, 85
2021/08/04 15:42:19.411, 124, 401, 43
2021/08/04 15:42:20.546, 115, 387, 71
2021/08/04 15:42:21.683, 121, 388, 75
2021/08/04 15:42:22.819, 125, 405, 97
2021/08/04 15:42:23.955, 116, 388, 90
2021/08/04 15:42:25.091, 117, 385, 58
2021/08/04 15:42:26.211, 117, 380, 120
2021/08/04 15:42:27.346, 120, 401, 103
2021/08/04 15:42:28.482, 117, 375, 111
