7/25/21	15:59:44	695	61	700	378	550
7/25/21	15:59:45	695	62	700	375	550
7/25/21	15:59:46	695	62	700	384	550
7/25/21	15:59:47	695	63	700	378	550
7/25/21	15:59:48	695	60	700	437	550
7/25/21	15:59:49	695	61	700	343	550
7/25/21	15:59:50	695	60	700	424	550
7/25/21	15:59:51	695	65	700	347	550
7/25/21	15:59:52	695	64	700	414	550
7/25/21	15:59:53	695	63	700	333	550
7/25/21	15:59:55	695	61	700	434	550
7/25/21	15:59:56	695	63	700	343	550
7/25/21	15:59:57	695	63	700	382	550
7/25/21	15:59:58	695	61	700	340	550
7/25/21	15:59:59	695	65	700	367	550
7/25/21	16:00:00	695	60	700	354	550
7/25/21	16:00:01	695	65	700	397	550
7/25/21	16:00:02	695	59	700	355	550
7/25/21	16:00:03	695	66	700	365	550
7/25/21	16:00:04	695	62	700	382	550
7/25/21	16:00:05	695	59	700	382	550
7/25/21	16:00:06	695	64	700	356	550
7/25/21	16:00:07	695	64	700	360	550
7/25/21	16:00:08	695	58	700	347	550
7/25/21	16:00:09	695	65	700	376	550
7/25/21	16:00:10	695	57	700	428	550
7/25/21	16:00:11	695	64	700	368	550
7/25/21	16:00:12	695	62	700	400	550
7/25/21	16:00:13	695	60	700	327	550
7/25/21	16:00:14	695	63	700	383	550
7/25/21	16:00:15	695	54	700	341	550
7/25/21	16:00:16	695	67	700	382	550
7/25/21	16:00:17	695	63	700	376	550
7/25/21	16:00:18	695	58	700	397	550
7/25/21	16:00:19	695	51	700	377	550
7/25/21	16:00:20	695	57	700	369	550
7/25/21	16:00:21	695	62	700	410	550
7/25/21	16:00:22	695	62	700	362	550
7/25/21	16:00:23	695	64	700	387	550
7/25/21	16:00:24	695	62	700	409	550
7/25/21	16:00:25	695	64	700	383	550
7/25/21	16:00:26	695	58	700	431	550
7/25/21	16:00:27	695	56	700	437	550
7/25/21	16:00:28	695	62	700	380	550
7/25/21	16:00:29	695	60	700	380	550
7/25/21	16:00:30	695	54	700	341	550
7/25/21	16:00:31	695	64	700	384	550
7/25/21	16:00:32	695	64	700	391	550
7/25/21	16:00:33	695	53	700	372	550
7/25/21	16:00:34	695	59	700	358	550
