wave,rrs
349.01,0.007640881
352.33,0.007244482
355.64,0.006971556
358.96,0.006806469
362.28,0.006704617
365.6,0.006623606
368.92,0.006552399
372.24,0.006534484
375.56,0.006482865
378.88,0.0064127
382.2,0.006312902
385.52,0.006373615
388.85,0.006265854
392.17,0.006226774
395.49,0.006298124
398.82,0.006248696
402.14,0.006196234
405.47,0.006215001
408.79,0.006178146
412.12,0.006164473
415.44,0.006135023
418.77,0.006094829
422.1,0.006119359
425.42,0.006116056
428.75,0.006190756
432.08,0.006244018
435.41,0.006289501
438.74,0.006387862
442.07,0.006519098
445.4,0.006628019
448.73,0.006730604
452.06,0.006822932
455.39,0.006952201
458.72,0.007049309
462.05,0.00715921
465.38,0.007258074
468.71,0.007383339
472.04,0.007522422
475.38,0.00766927
478.71,0.007815192
482.04,0.007920942
485.37,0.008048242
488.71,0.00817577
492.04,0.008281514
495.37,0.008396012
498.71,0.008540661
502.04,0.008703304
505.38,0.008862549
508.71,0.008992189
512.04,0.009114161
515.38,0.009257759
518.71,0.009439755
522.05,0.009611862
525.38,0.009766065
528.72,0.009925003
532.05,0.010049294
535.38,0.010154169
538.72,0.010277546
542.05,0.010371577
545.39,0.010433971
548.72,0.010511095
552.06,0.010608017
555.39,0.01069925
558.73,0.010819192
562.06,0.01089308
565.4,0.010921963
568.73,0.010933129
572.07,0.010817038
575.4,0.010641083
578.73,0.010371427
582.07,0.010010254
585.4,0.009583664
588.74,0.009037063
592.07,0.008419593
595.4,0.007774914
598.74,0.007116807
602.07,0.006552778
605.41,0.006185959
608.74,0.005927156
612.07,0.005794825
615.4,0.005720438
618.74,0.005643245
622.07,0.005539402
625.4,0.005487439
628.73,0.005413476
632.06,0.005362827
635.4,0.005243135
638.73,0.005142302
642.06,0.005050489
645.39,0.004966559
648.72,0.004843706
652.05,0.004719385
655.38,0.004518926
658.71,0.004269412
662.03,0.004086792
665.36,0.003998356
668.69,0.003940046
672.02,0.003923961
675.35,0.003948907
678.67,0.003986305
682,0.004007585
685.33,0.004006279
688.65,0.003921701
691.98,0.003762611
695.3,0.003588011
698.62,0.003411256
701.95,0.003229522
705.27,0.003019793
708.59,0.002835102
711.92,0.002658283
715.24,0.00246621
718.56,0.00226811
721.88,0.002051185
725.2,0.001897175
728.52,0.001768252
731.84,0.001647746
735.16,0.001575977
738.48,0.001547029
741.79,0.001550176
745.11,0.001541567
748.42,0.001539911
751.74,0.001531248
755.05,0.001522608
758.37,0.001526851
761.68,0.001500127
765,0.001481761
768.31,0.001464949
771.62,0.001493888
774.93,0.001511562
778.24,0.001485497
781.55,0.001532239
784.86,0.001504814
788.16,0.001516071
791.47,0.001524077
794.78,0.001543608
798.08,0.001554575
801.39,0.001559322
