time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2021/07/22 18:51:32.633, 721, 1481, 1713
2021/07/22 18:51:34.137, 707, 1492, 1673
2021/07/22 18:51:35.640, 688, 1477, 1603
2021/07/22 18:51:37.159, 686, 1488, 1637
2021/07/22 18:51:38.663, 678, 1494, 1662
2021/07/22 18:51:40.167, 666, 1480, 1657
2021/07/22 18:51:41.670, 658, 1473, 1671
2021/07/22 18:51:43.190, 670, 1457, 1675
2021/07/22 18:51:44.693, 661, 1438, 1648
2021/07/22 18:51:46.196, 644, 1458, 1638
2021/07/22 18:51:47.700, 646, 1485, 1685
2021/07/22 18:51:49.219, 641, 1483, 1663
2021/07/22 18:51:50.722, 652, 1535, 1666
2021/07/22 18:51:52.226, 646, 1516, 1694
2021/07/22 18:51:53.745, 641, 1533, 1686
2021/07/22 18:51:55.249, 633, 1507, 1729
2021/07/22 18:51:56.752, 617, 1517, 1694
2021/07/22 18:51:58.256, 619, 1519, 1710
2021/07/22 18:51:59.776, 633, 1529, 1697
2021/07/22 18:52:01.279, 650, 1549, 1701
2021/07/22 18:52:02.782, 659, 1533, 1693
2021/07/22 18:52:04.286, 666, 1538, 1700
2021/07/22 18:52:05.805, 673, 1521, 1680
2021/07/22 18:52:07.308, 674, 1534, 1700
2021/07/22 18:52:08.812, 660, 1530, 1727
2021/07/22 18:52:10.331, 651, 1512, 1712
2021/07/22 18:52:11.835, 644, 1526, 1695
2021/07/22 18:52:13.338, 629, 1504, 1674
2021/07/22 18:52:14.841, 667, 1513, 1688
2021/07/22 18:52:16.361, 693, 1527, 1675
2021/07/22 18:52:17.865, 697, 1527, 1673
2021/07/22 18:52:19.368, 707, 1527, 1662
2021/07/22 18:52:20.872, 700, 1507, 1672
2021/07/22 18:52:22.391, 705, 1511, 1700
2021/07/22 18:52:23.894, 710, 1510, 1647
2021/07/22 18:52:25.398, 694, 1511, 1661
2021/07/22 18:52:26.917, 699, 1514, 1664
2021/07/22 18:52:28.420, 693, 1512, 1665
2021/07/22 18:52:29.924, 697, 1499, 1661
2021/07/22 18:52:31.427, 699, 1510, 1660
2021/07/22 18:52:32.947, 700, 1496, 1627
2021/07/22 18:52:34.451, 699, 1497, 1639
2021/07/22 18:52:35.954, 690, 1486, 1653
2021/07/22 18:52:37.458, 697, 1497, 1654
2021/07/22 18:52:38.977, 701, 1476, 1654
2021/07/22 18:52:40.480, 694, 1458, 1636
2021/07/22 18:52:41.984, 690, 1472, 1642
2021/07/22 18:52:43.487, 695, 1515, 1634
2021/07/22 18:52:45.006, 692, 1506, 1632
2021/07/22 18:52:46.510, 684, 1490, 1628
2021/07/22 18:52:48.013, 666, 1465, 1663
2021/07/22 18:52:49.532, 670, 1438, 1654
2021/07/22 18:52:51.037, 689, 1484, 1643
2021/07/22 18:52:52.540, 685, 1517, 1602
2021/07/22 18:52:54.044, 691, 1519, 1624
2021/07/22 18:52:55.564, 694, 1499, 1659
2021/07/22 18:52:57.066, 679, 1506, 1669
2021/07/22 18:52:58.570, 673, 1505, 1677
2021/07/22 18:53:00.073, 683, 1493, 1699
2021/07/22 18:53:01.593, 684, 1498, 1692
